timestamp,data
69.6,q:0.720:-0.092:-0.680:0.108,a:-8.234:1.379:-0.422,la:0.004:-0.027:0.016,g:0.012:-0.002:-0.131,m:18.688:-121.188:-93.125,grav:-8.211:1.539:-0.445,steps:0,stab:On Table
70.1,q:0.726:-0.032:-0.686:0.050,a:-8.316:0.691:-0.461,la:-0.047:-0.137:0.023,g:0.012:0.002:-0.139,m:18.313:-120.438:-93.563,grav:-8.227:1.477:-0.445,steps:0,stab:On Table
70.7,q:0.726:-0.028:-0.686:0.046,a:-8.352:0.652:-0.461,la:-0.016:-0.152:0.039,g:0.002:0.004:-0.146,m:22.438:-114.813:-89.250,grav:-8.336:0.711:-0.445,steps:0,stab:On Table
71.2,q:0.726:0.010:-0.687:0.011,a:-8.352:-0.844:-0.461,la:-0.016:-0.129:0.039,g:0.004:0.006:-0.154,m:22.063:-115.188:-90.813,grav:-8.367:-0.758:-0.453,steps:0,stab:On Table
71.7,q:-0.725:-0.038:0.687:0.018,a:-8.352:-0.957:-0.461,la:-0.039:-0.105:0.008,g:-0.004:0.004:-0.158,m:23.188:-112.938:-91.625,grav:-8.359:-0.852:-0.461,steps:0,stab:On Table
72.2,q:-0.723:-0.075:0.685:0.053,a:-8.277:-1.762:-0.461,la:-0.016:-0.082:0.008,g:0.004:0.002:-0.135,m:25.438:-109.188:-89.313,grav:-8.148:-2.305:-0.469,steps:0,stab:On Table
72.8,q:-0.714:-0.138:0.677:0.115,a:-7.934:-3.219:-0.461,la:-0.039:-0.063:0.000,g:0.008:0.002:-0.131,m:26.563:-105.875:-89.250,grav:-8.125:-2.391:-0.461,steps:0,stab:On Table
73.3,q:-0.713:-0.141:0.677:0.118,a:-7.660:-3.945:-0.461,la:-0.055:-0.078:0.008,g:0.000:0.004:-0.135,m:26.875:-97.625:-85.375,grav:-7.906:-3.219:-0.469,steps:0,stab:On Table
73.8,q:-0.699:-0.197:0.664:0.174,a:-7.656:-3.984:-0.461,la:-0.043:-0.086:0.016,g:0.006:0.002:-0.133,m:28.000:-100.250:-88.875,grav:-7.633:-3.875:-0.469,steps:0,stab:On Table
74.9,q:-0.679:-0.259:0.645:0.237,a:-7.313:-4.672:-0.461,la:-0.074:-0.070:0.008,g:0.008:0.006:-0.146,m:28.375:-95.375:-86.188,grav:-7.320:-4.609:-0.469,steps:0,stab:On Table
